Sl. No.,"Flight
No.","Operator
Code","Aircraft
Type",Frequency,"Arrival
from","Arrival
Time","Departure
to","Departure
Time","Effective
from","Effective
to"
Ahmedabad,,,,,,,,,,
1,UK 939,UK,A 320,Daily,DEL,6:25,,,25-Nov-2019,28-Mar-2020
2,UK 936,UK,A 320,Daily,,,DEL,7:05,25-Nov-2019,28-Mar-2020
3,UK 959,UK,A 320,Daily,DEL,8:00,,,27-Oct-2019,28-Mar-2020
4,UK 946,UK,A 320,Daily,,,DEL,8:40,27-Oct-2019,28-Mar-2020
5,UK 979,UK,A 320,123456,DEL,10:20,,,28-Oct-2019,28-Mar-2020
6,UK 976,UK,A 320,123456,,,DEL,10:55,28-Oct-2019,28-Mar-2020
7,UK 969,UK,A 320,Daily,DEL,19:40,,,27-Oct-2019,28-Mar-2020
8,UK 966,UK,A 320,Daily,,,DEL,20:15,27-Oct-2019,28-Mar-2020
Amritsar,,,,,,,,,,
1,UK 691,UK,A 320,Daily,DEL,12:50,,,27-Oct-2019,28-Mar-2020
2,UK 508,UK,A 320,Daily,,,DEL,13:25,27-Oct-2019,28-Mar-2020
3,UK 976,UK,A 320,Daily,DEL,14:50,,,27-Oct-2019,28-Mar-2020
4,UK 507,UK,A 320,Daily,DEL,15:05,,,27-Oct-2019,28-Mar-2020
5,UK 997,UK,A 320,Daily,,,DEL,15:25,27-Oct-2019,28-Mar-2020
6,UK 692,UK,A 320,Daily,,,DEL,15:40,27-Oct-2019,28-Mar-2020
7,UK 695,UK,A 320,Daily,DEL,20:35,,,27-Oct-2019,28-Mar-2020
8,UK 694,UK,A 320,Daily,,,DEL,21:10,27-Oct-2019,28-Mar-2020
Bagdogra,,,,,,,,,,
1,UK 725,UK,A 320,Daily,DEL,9:45,,,27-Oct-2019,28-Mar-2020
2,UK 725,UK,A 320,Daily,,,DIB,10:20,27-Oct-2019,28-Mar-2020
3,UK 726,UK,A 320,Daily,DIB,13:35,,,27-Oct-2019,28-Mar-2020
4,UK 726,UK,A 320,Daily,,,DEL,14:10,27-Oct-2019,28-Mar-2020
Bangalore,,,,,,,,,,
1,UK 858,UK,A 320,Daily,,,BOM,6:40,27-Oct-2019,28-Mar-2020
2,UK 810,UK,A 320,Daily,,,DEL,7:00,27-Oct-2019,28-Mar-2020
3,UK 845,UK,B 738,Daily,BOM,7:35,,,27-Oct-2019,28-Mar-2020
4,UK 846,UK,B 738,Daily,,,BOM,8:20,27-Oct-2019,28-Mar-2020
5,UK 851,UK,B 738,Daily,BOM,8:35,,,27-Oct-2019,31-Dec-2019
6,UK 851,UK,B 738,Daily,BOM,8:35,,,01-Jan-2020,28-Mar-2020
7,UK 811,UK,B 738,Daily,DEL,9:05,,,27-Oct-2019,28-Mar-2020
8,UK 852,UK,B 738,Daily,,,BOM,9:40,27-Oct-2019,31-Dec-2019
9,UK 852,UK,B 738,Daily,,,BOM,9:40,01-Jan-2020,28-Mar-2020
10,UK 812,UK,B 738,Daily,,,DEL,9:45,27-Oct-2019,28-Mar-2020
11,UK 815,UK,B 738,134567,DEL,10:50,,,27-Oct-2019,28-Mar-2020
12,UK 815,UK,B 738,2,DEL,10:50,,,27-Oct-2019,28-Mar-2020
13,UK 863,UK,A 320,2,BOM,10:55,,,27-Oct-2019,31-Dec-2019
14,UK 863,UK,A 320,2,BOM,10:55,,,07-Jan-2020,28-Mar-2020
15,UK 863,UK,A 320,134567,BOM,11:10,,,27-Oct-2019,30-Dec-2019
16,UK 863,UK,A 320,134567,BOM,11:10,,,01-Jan-2020,28-Mar-2020
17,UK 816,UK,B 738,134567,,,DEL,11:30,27-Oct-2019,28-Mar-2020
18,UK 816,UK,B 738,2,,,DEL,11:30,27-Oct-2019,28-Mar-2020
19,UK 864,UK,A 320,2,,,BOM,11:40,27-Oct-2019,31-Dec-2019
20,UK 864,UK,A 320,2,,,BOM,11:40,07-Jan-2020,28-Mar-2020
21,UK 864,UK,A 320,134567,,,BOM,11:40,27-Oct-2019,30-Dec-2019
22,UK 864,UK,A 320,134567,,,BOM,11:40,01-Jan-2020,28-Mar-2020
23,UK 805,UK,B 738,Daily,DEL,17:05,,,15-Nov-2019,28-Mar-2020
24,UK 806,UK,B 738,Daily,,,DEL,17:35,15-Nov-2019,28-Mar-2020
25,UK 853,UK,A 320,Daily,BOM,17:45,,,27-Oct-2019,31-Dec-2019
26,UK 853,UK,A 320,Daily,BOM,17:45,,,01-Jan-2020,28-Mar-2020
27,UK 854,UK,A 320,Daily,,,BOM,18:30,27-Oct-2019,31-Dec-2019
28,UK 854,UK,A 320,Daily,,,BOM,18:30,01-Jan-2020,28-Mar-2020
29,UK 817,UK,B 738,Daily,DEL,18:50,,,27-Oct-2019,28-Mar-2020
30,UK 849,UK,B 738,Daily,BOM,19:15,,,27-Oct-2019,31-Dec-2019
31,UK 849,UK,B 738,Daily,BOM,19:15,,,01-Jan-2020,28-Mar-2020
32,UK 818,UK,B 738,Daily,,,DEL,19:40,27-Oct-2019,28-Mar-2020
33,UK 850,UK,B 738,Daily,,,BOM,19:55,27-Oct-2019,31-Dec-2019
34,UK 850,UK,B 738,Daily,,,BOM,19:55,01-Jan-2020,28-Mar-2020
35,UK 813,UK,B 738,Daily,DEL,20:25,,,27-Oct-2019,28-Mar-2020
36,UK 865,UK,B 738,Daily,BOM,20:45,,,27-Oct-2019,31-Dec-2019
37,UK 865,UK,B 738,Daily,BOM,20:45,,,01-Jan-2020,28-Mar-2020
38,UK 814,UK,B 738,Daily,,,DEL,21:10,27-Oct-2019,28-Mar-2020
39,UK 807,UK,A 320,Daily,DEL,21:10,,,15-Nov-2019,28-Mar-2020
40,UK 866,UK,B 738,Daily,,,BOM,21:30,27-Oct-2019,31-Dec-2019
41,UK 866,UK,B 738,Daily,,,BOM,21:30,01-Jan-2020,28-Mar-2020
42,UK 808,UK,A 320,Daily,,,DEL,21:45,15-Nov-2019,28-Mar-2020
43,UK 857,UK,A 320,Daily,BOM,22:50,,,27-Oct-2019,28-Mar-2020
44,UK 819,UK,A 320,Daily,DEL,23:20,,,27-Oct-2019,28-Mar-2020
Bhubaneshwar,,,,,,,,,,
1,UK 785,UK,A 320,Daily,DEL,9:10,,,27-Oct-2019,28-Mar-2020
2,UK 786,UK,A 320,Daily,,,DEL,9:40,27-Oct-2019,28-Mar-2020
3,UK 787,UK,A 320,Daily,DEL,12:25,,,27-Oct-2019,28-Mar-2020
4,UK 788,UK,A 320,Daily,,,DEL,13:00,27-Oct-2019,28-Mar-2020
5,UK 781,UK,A 320,Daily,DEL,20:00,,,27-Oct-2019,28-Mar-2020
6,UK 782,UK,A 320,Daily,,,DEL,20:30,27-Oct-2019,28-Mar-2020
Chandigarh,,,,,,,,,,
1,UK 667,UK,A 320,123456,DEL,8:15,,,28-Oct-2019,28-Mar-2020
2,UK 668,UK,A 320,123456,,,DEL,8:50,28-Oct-2019,28-Mar-2020
3,UK 653,UK,A 320,7,BOM,13:10,,,27-Oct-2019,22-Mar-2020
4,UK 654,UK,A 320,7,,,BOM,13:45,27-Oct-2019,22-Mar-2020
5,UK 706,UK,A 320,Daily,DEL,14:45,,,27-Oct-2019,28-Mar-2020
6,UK 707,UK,A 320,Daily,,,DEL,15:25,27-Oct-2019,28-Mar-2020
7,UK 637,UK,A 320,Daily,DEL,18:15,,,27-Oct-2019,28-Mar-2020
8,UK 651,UK,A 320,Daily,BOM,18:30,,,27-Oct-2019,28-Mar-2020
9,UK 638,UK,A 320,Daily,,,DEL,18:50,27-Oct-2019,28-Mar-2020
10,UK 652,UK,A 320,Daily,,,BOM,19:05,27-Oct-2019,28-Mar-2020
Chennai,,,,,,,,,,
1,UK 832,UK,A 320,Daily,,,DEL,7:05,28-Oct-2019,28-Mar-2020
2,UK 828,UK,A 320,Daily,,,BOM,7:10,28-Oct-2019,28-Mar-2020
3,UK 821,UK,A 320,Daily,BOM,8:00,,,27-Oct-2019,30-Nov-2019
4,UK 821,UK,A 320,Daily,BOM,8:00,,,01-Dec-2019,28-Mar-2020
5,UK 822,UK,A 320,Daily,,,BOM,8:40,27-Oct-2019,30-Nov-2019
6,UK 822,UK,A 320,Daily,,,IXZ,8:40,01-Dec-2019,28-Mar-2020
7,UK 833,UK,A 320,Daily,DEL,10:15,,,27-Oct-2019,28-Mar-2020
8,UK 766,UK,A 320,Daily,IXZ,10:30,,,20-Nov-2019,28-Mar-2020
9,UK 833,UK,A 320,Daily,,,IXZ,10:45,27-Oct-2019,28-Mar-2020
10,UK 765,UK,A 320,Daily,,,IXZ,11:10,20-Nov-2019,28-Mar-2020
11,UK 825,UK,B 738,Daily,BOM,11:40,,,27-Oct-2019,28-Mar-2020
12,UK 826,UK,B 738,Daily,,,BOM,12:20,27-Oct-2019,28-Mar-2020
13,UK 866,UK,A 320,Daily,IXZ,13:35,,,27-Oct-2019,28-Mar-2020
14,UK 866,UK,A 320,Daily,,,BOM,14:15,27-Oct-2019,28-Mar-2020
15,UK 834,UK,A 320,Daily,IXZ,16:20,,,27-Oct-2019,28-Mar-2020
16,UK 834,UK,A 320,Daily,,,DEL,17:10,27-Oct-2019,28-Mar-2020
17,UK 823,UK,B 738,Daily,BOM,20:05,,,27-Oct-2019,28-Mar-2020
18,UK 837,UK,A 320,Daily,DEL,20:15,,,27-Oct-2019,28-Mar-2020
19,UK 824,UK,B 738,Daily,,,BOM,20:45,27-Oct-2019,28-Mar-2020
20,UK 838,UK,A 320,Daily,,,DEL,21:05,27-Oct-2019,28-Mar-2020
21,UK 835,UK,A 320,Daily,DEL,22:45,,,27-Oct-2019,27-Mar-2020
22,UK 827,UK,A 320,Daily,BOM,23:00,,,27-Oct-2019,27-Mar-2020
Delhi,,,,,,,,,,
1,UK 950,UK,A 320,7,BOM,0:10,,,27-Oct-2019,27-Oct-2019
2,UK 950,UK,A 320,Daily,BOM,0:10,,,28-Oct-2019,28-Mar-2020
3,UK 986,UK,A 320,Daily,BOM,0:55,,,27-Oct-2019,28-Mar-2020
4,UK 868,UK,A 320,Daily,GOI,1:20,,,27-Oct-2019,28-Mar-2020
5,UK 989,UK,A 320,Daily,,,PNQ,3:10,27-Oct-2019,28-Mar-2020
6,UK 924,UK,B 738,Daily,BOM,5:15,,,27-Oct-2019,28-Mar-2020
7,UK 883,UK,A 320,Daily,,,COK,6:00,27-Oct-2019,28-Mar-2020
8,UK 975,UK,A 320,123456,,,BOM,6:00,28-Oct-2019,28-Mar-2020
9,UK 747,UK,B 738,7,,,CCU,6:15,27-Oct-2019,27-Oct-2019
10,UK 747,UK,B 738,Daily,,,CCU,6:15,28-Oct-2019,28-Mar-2020
11,UK 811,UK,A 320,Daily,,,BLR,6:20,27-Oct-2019,28-Mar-2020
12,UK 959,UK,A 320,Daily,,,AMD,6:30,27-Oct-2019,28-Mar-2020
13,UK 751,UK,A 320,7,,,IXR,6:35,27-Oct-2019,27-Oct-2019
14,UK 751,UK,A 320,Daily,,,IXR,6:35,28-Oct-2019,28-Mar-2020
15,UK 793,UK,A 320,7,,,RPR,6:40,27-Oct-2019,27-Oct-2019
16,UK 793,UK,A 320,Daily,,,RPR,6:40,28-Oct-2019,28-Mar-2020
17,UK 923,UK,B 738,Daily,,,BOM,6:40,27-Oct-2019,28-Mar-2020
18,UK 913,UK,A 320,7,,,IDR,6:55,27-Oct-2019,27-Oct-2019
19,UK 913,UK,A 320,Daily,,,IDR,6:55,28-Oct-2019,28-Mar-2020
20,UK 601,UK,A 320,7,,,IXL,7:00,27-Oct-2019,27-Oct-2019
21,UK 601,UK,A 320,7,,,IXL,7:00,03-Nov-2019,22-Mar-2020
22,UK 601,UK,A 320,3,,,IXL,7:00,30-Oct-2019,25-Mar-2020
23,UK 785,UK,A 320,7,,,BBI,7:00,27-Oct-2019,27-Oct-2019
24,UK 785,UK,A 320,Daily,,,BBI,7:00,28-Oct-2019,28-Mar-2020
25,UK 897,UK,A 320,Daily,,,TRV,7:00,27-Oct-2019,28-Mar-2020
26,UK 829,UK,A 320,7,,,HYD,7:05,27-Oct-2019,27-Oct-2019
27,UK 829,UK,A 320,Daily,,,HYD,7:05,28-Oct-2019,28-Mar-2020
28,UK 667,UK,A 320,Daily,,,IXC,7:10,27-Oct-2019,28-Mar-2020
29,UK 855,UK,A 320,7,,,GOI,7:10,27-Oct-2019,22-Mar-2020
30,UK 954,UK,A 320,Daily,BOM,7:15,,,27-Oct-2019,28-Mar-2020
31,UK 833,UK,A 320,Daily,,,MAA,7:20,27-Oct-2019,28-Mar-2020
32,UK 943,UK,A 320,12345,,,BOM,7:30,28-Oct-2019,27-Mar-2020
33,UK 641,UK,A 320,7,,,LKO,7:35,27-Oct-2019,27-Oct-2019
34,UK 641,UK,A 320,124567,,,LKO,7:35,28-Oct-2019,28-Mar-2020
35,UK 725,UK,A 320,Daily,,,IXB,7:50,27-Oct-2019,28-Mar-2020
36,UK 990,UK,A 320,Daily,PNQ,8:05,,,27-Oct-2019,28-Mar-2020
37,UK 815,UK,B 738,7,,,BLR,8:05,27-Oct-2019,27-Oct-2019
38,UK 815,UK,B 738,Daily,,,BLR,8:05,28-Oct-2019,28-Mar-2020
39,UK 928,UK,A 320,Daily,BOM,8:35,,,27-Oct-2019,28-Mar-2020
40,UK 979,UK,A 320,123456,,,AMD,8:45,28-Oct-2019,28-Mar-2020
41,UK 963,UK,A 320,Daily,,,BOM,8:50,27-Oct-2019,28-Mar-2020
42,UK 860,UK,A 320,Daily,HYD,8:55,,,27-Oct-2019,28-Mar-2020
43,UK 927,UK,A 320,Daily,,,BOM,9:30,27-Oct-2019,28-Mar-2020
44,UK 720,UK,A 320,6,CCU,9:35,,,02-Nov-2019,28-Mar-2020
45,UK 720,UK,A 320,123457,CCU,9:35,,,27-Oct-2019,27-Mar-2020
46,UK 810,UK,A 320,Daily,BLR,9:35,,,27-Oct-2019,28-Mar-2020
47,UK 930,UK,A 320,12345,BOM,9:35,,,28-Oct-2019,27-Mar-2020
